dataset,kir,seed,representation,gold_is_oos,n,score_mean,score_p10,score_p50,score_p90,score_p95,score_p99,score_leq_1_rate
clinc150,0.75,13,frozen,1,2340,1.1360926437803176,1.0176391165964667,1.157253886030257,1.2224276888285748,1.2358315899207006,1.25807073879389,0.08034188034188035
clinc150,0.75,13,trainable,0,3360,0.8990547601365959,0.702614055202368,0.8887292213135266,1.1062757120841702,1.1813215038146558,1.3074335021261763,0.7464285714285714
clinc150,0.75,13,trainable,1,2340,1.244649264011955,1.071909059774043,1.2614189206620174,1.3945097571032856,1.425466748391531,1.4763357679925435,0.046153846153846156
clinc150,0.75,42,frozen,0,3360,0.9037385325147809,0.7106102423518553,0.9084036783920311,1.099195475219054,1.147552007298598,1.1884717336148234,0.7440476190476191
clinc150,0.75,42,frozen,1,2340,1.126952062310009,1.0176673411078494,1.151530281160292,1.1958781974004207,1.2049995370461106,1.2204966199247549,0.07521367521367521
clinc150,0.75,42,trainable,0,3360,0.8912420314775402,0.6696488920453801,0.8723435472667709,1.149858518149327,1.22268175874916,1.366582794600334,0.7398809523809524
clinc150,0.75,42,trainable,1,2340,1.3145401064372724,1.1100413723883154,1.3400797961000335,1.482518600497306,1.5140467714822952,1.568232661149652,0.039316239316239315
clinc150,0.75,87,frozen,0,3360,0.8978118349692298,0.7086347621911391,0.9018647697529135,1.0962390106289333,1.1507540645749752,1.1881516223116584,0.7619047619047619
clinc150,0.75,87,frozen,1,2340,1.1224777370318084,1.02495526192941,1.1451273822535337,1.1960216028382347,1.2055249218028026,1.2221673390332604,0.06965811965811966
clinc150,0.75,87,trainable,0,3360,0.8933815082572867,0.6860441486750869,0.8808356171117137,1.1129656020632444,1.1954227458319422,1.3380635238142153,0.7508928571428571
clinc150,0.75,87,trainable,1,2340,1.2505628337758352,1.1024826925686944,1.2695731167915518,1.3856572425994784,1.4058720140140912,1.440935202172141,0.03632478632478633
clinc150,0.75,100,frozen,0,3360,0.890759762323942,0.6977492890756354,0.8987321083821087,1.072405310231776,1.1195770987268898,1.2017312586382356,0.7741071428571429
clinc150,0.75,100,frozen,1,2340,1.137493678170746,1.022499642511402,1.1581349829264815,1.2252347860836472,1.238299175864826,1.2621650817876235,0.07264957264957266
clinc150,0.75,100,trainable,0,3360,0.878841175961205,0.6559355369406336,0.8589907071709006,1.134001868943155,1.2250209055134438,1.3633747768548508,0.7622023809523809
clinc150,0.75,100,trainable,1,2340,1.3323865198086096,1.1147354570686394,1.3589692590290516,1.5230739195554546,1.5567707069409635,1.613011372056638,0.04188034188034188
clinc150,0.75,123,frozen,0,3360,0.9011130002458083,0.7080189723126195,0.9069933762142806,1.0913031112853822,1.1474274575985908,1.190809151085609,0.7586309523809524
clinc150,0.75,123,frozen,1,2340,1.1253784889533727,1.0202116434753208,1.150128205671881,1.1942971780696823,1.2037268015679135,1.2200452142087808,0.07222222222222222
clinc150,0.75,123,trainable,0,3360,0.8913521978868529,0.6850835073404359,0.8805644878960222,1.1099703053455023,1.1883298277059002,1.3257348756225373,0.756547619047619
clinc150,0.75,123,trainable,1,2340,1.266563292601382,1.081685200483625,1.285927018560584,1.4180386995980963,1.4441775300561692,1.4795690095801093,0.03717948717948718
stackoverflow,0.25,13,frozen,0,1500,0.9018101803223663,0.7894845764173718,0.8954924479593074,1.0340087621736238,1.060861473264447,1.0955752151936275,0.84
stackoverflow,0.25,13,frozen,1,4500,1.0540828779380234,1.0086393174416413,1.0613545935705937,1.0963867661324087,1.105006046066287,1.1184180525767826,0.07755555555555556
stackoverflow,0.25,13,trainable,0,1500,0.9010986069175351,0.787184895057764,0.8952123036034358,1.0391465020409834,1.0645494630579089,1.105574329308076,0.8333333333333334
stackoverflow,0.25,13,trainable,1,4500,1.062350199715632,1.0115746808398898,1.0702671709086444,1.1098354890954965,1.1181648858888373,1.1351878249570533,0.07355555555555555
stackoverflow,0.25,42,frozen,0,1500,0.9011988698889052,0.776003760995444,0.9028690071682182,1.0109098928445102,1.0215750064207796,1.0443590826089664,0.8386666666666667
stackoverflow,0.25,42,frozen,1,4500,1.0216303569851435,0.9857643801394823,1.0245374698330907,1.0549495844977326,1.0625884129716079,1.0724965919246718,0.19622222222222221
stackoverflow,0.25,42,trainable,0,1500,0.7944830860847233,0.6008219878243723,0.7303708096146179,1.1137065213197164,1.2612227717827842,1.4895973752708107,0.844
stackoverflow,0.25,42,trainable,1,4500,1.3694209871446332,1.0867986851229268,1.3693496040875108,1.6588894668697476,1.7089698067638233,1.7874882260971832,0.03933333333333333
stackoverflow,0.25,87,frozen,0,1500,0.9218532652755117,0.8188629515936271,0.9258130434985588,1.0203463955039649,1.041884333406307,1.0647542439233135,0.8293333333333334
stackoverflow,0.25,87,frozen,1,4500,1.0400844410822199,0.9914106702582368,1.046250748228652,1.0789867888668667,1.0867094512950601,1.100679517716402,0.13555555555555557
stackoverflow,0.25,87,trainable,0,1500,0.8093114881397065,0.6118034692211329,0.7564305044406165,1.1087796900071094,1.2609966341122154,1.457389698523637,0.848
stackoverflow,0.25,87,trainable,1,4500,1.3919041163773356,1.1300268145820338,1.4054019455098088,1.6356074194462398,1.6815864957285664,1.771093542701702,0.026444444444444444
stackoverflow,0.25,100,frozen,0,1500,0.914845816614546,0.8135405779522396,0.9109714773405939,1.0306830895679773,1.0638889249290762,1.091729453792621,0.8466666666666667
stackoverflow,0.25,100,frozen,1,4500,1.0658468756886665,1.0097705795804548,1.0714302769381878,1.1138262113824868,1.1236992663788743,1.1433045351110314,0.07444444444444444
stackoverflow,0.25,100,trainable,0,1500,0.7648600480479235,0.5554709104638743,0.6923845295356801,1.1152900434157564,1.3185575484973615,1.5837345947378478,0.8473333333333334
stackoverflow,0.25,100,trainable,1,4500,1.5195483330110282,1.2190788192539683,1.5283007129491595,1.8102084562788574,1.8786372888736678,1.997361921135468,0.017333333333333333
stackoverflow,0.25,123,frozen,0,1500,0.9010750522964676,0.7697352927183306,0.9014191031257052,1.0312683975944306,1.0556426785367672,1.0784252791838989,0.8213333333333334
stackoverflow,0.25,123,frozen,1,4500,1.034951255416003,0.9890038153555476,1.0400170158544633,1.0748005533755274,1.0817648257437955,1.0956231393570097,0.1582222222222222
stackoverflow,0.25,123,trainable,0,1500,0.786336437571015,0.5594270530244206,0.7157813439353125,1.2054197125523054,1.3516426575102687,1.539050368643624,0.842
stackoverflow,0.25,123,trainable,1,4500,1.3975501383495101,1.1180925463557325,1.4166810928001343,1.6563286756691988,1.7089946829759786,1.8007612043782932,0.035777777777777776
stackoverflow,0.5,13,frozen,0,3000,0.9036781458887838,0.7893863474272397,0.9024770837476028,1.0176956830876176,1.032395889472017,1.0534153962918686,0.8353333333333334
stackoverflow,0.5,13,frozen,1,3000,1.00880474268541,0.9668931121379578,1.0122189849509438,1.051567844205216,1.0604306057244217,1.0703695280771655,0.347
stackoverflow,0.5,13,trainable,0,3000,0.793130858211971,0.6001576163374103,0.7384307449443551,1.1176733183515406,1.221552190849235,1.3359323253301614,0.8426666666666667
