phase,dataset,kir,data_seed,distance,k_gate,oos_source,bucket,validation_q20,validation_q80,known_test_count,bucket_oos_count,oos_precision,oos_recall,oos_f1,id_recall,oos_rejection,auroc,aupr_oos,fpr95
tuned,banking77_oos,75,42,euclidean,1,provided_oos,near,0.3206140428979948,0.6586094077428734,1520,232,0.1604938271604938,0.1120689655172413,0.1319796954314721,0.9105263157894736,0.1120689655172413,0.6129650635208712,0.1680537538029333,0.8546052631578948
tuned,banking77_oos,75,42,euclidean,1,provided_oos,medium,0.3206140428979948,0.6586094077428734,1520,885,0.8312655086848635,0.7570621468926554,0.7924305144884684,0.9105263157894736,0.7570621468926554,0.9419320547130536,0.8684735824283071,0.175
tuned,banking77_oos,75,42,euclidean,1,provided_oos,far,0.3206140428979948,0.6586094077428734,1520,963,0.8762511373976342,1.0,0.9340446168768186,0.9105263157894736,1.0,0.9976553533366124,0.9951137548838056,0.0092105263157894
tuned,banking77_oos,75,42,mahalanobis_diag,1,combined,near,0.3206140428979948,0.6586094077428734,1520,379,0.2401960784313725,0.129287598944591,0.1680960548885077,0.8980263157894737,0.129287598944591,0.6640605471462296,0.269235150286679,0.8065789473684211
tuned,banking77_oos,75,42,mahalanobis_diag,1,combined,medium,0.3206140428979948,0.6586094077428734,1520,1198,0.8675213675213675,0.8472454090150251,0.8572635135135135,0.8980263157894737,0.8472454090150251,0.9454068183815132,0.8960442512329416,0.1697368421052631
tuned,banking77_oos,75,42,mahalanobis_diag,1,combined,far,0.3206140428979948,0.6586094077428734,1520,983,0.8637961335676626,1.0,0.9269212635549268,0.8980263157894737,1.0,0.9997128821545216,0.9995469456738828,0.0013157894736842
tuned,banking77_oos,75,42,mahalanobis_diag,1,heldout_unknown,near,0.3206140428979948,0.6586094077428734,1520,147,0.0718562874251497,0.0816326530612244,0.0764331210191082,0.8980263157894737,0.0816326530612244,0.6983530254206946,0.1324314781787817,0.7046052631578947
tuned,banking77_oos,75,42,mahalanobis_diag,1,heldout_unknown,medium,0.3206140428979948,0.6586094077428734,1520,313,0.6200980392156863,0.8083067092651757,0.7018030513176144,0.8980263157894737,0.8083067092651757,0.9347170842441566,0.6361645413026883,0.1861842105263157
tuned,banking77_oos,75,42,mahalanobis_diag,1,heldout_unknown,far,0.3206140428979948,0.6586094077428734,1520,20,0.1142857142857142,1.0,0.2051282051282051,0.8980263157894737,1.0,0.9982236842105264,0.8901026736954729,0.006578947368421
tuned,banking77_oos,75,42,mahalanobis_diag,1,provided_oos,near,0.3206140428979948,0.6586094077428734,1520,232,0.1927083333333333,0.1594827586206896,0.1745283018867924,0.8980263157894737,0.1594827586206896,0.6423321234119783,0.1819219424837038,0.8289473684210527
tuned,banking77_oos,75,42,mahalanobis_diag,1,provided_oos,medium,0.3206140428979948,0.6586094077428734,1520,885,0.8309705561613958,0.8610169491525423,0.8457269700332963,0.8980263157894737,0.8610169491525423,0.9491874814154028,0.8755775028796324,0.1585526315789473
tuned,banking77_oos,75,42,mahalanobis_diag,1,provided_oos,far,0.3206140428979948,0.6586094077428734,1520,963,0.8613595706618963,1.0,0.9255165785679962,0.8980263157894737,1.0,0.9997438104607314,0.9995883237341072,0.0013157894736842
tuned,stackoverflow,25,42,euclidean,1,combined,near,0.8167195141325787,0.9517223070909842,1497,907,0.5996677740863787,0.3980154355016538,0.4784625579854208,0.8390113560454242,0.3980154355016538,0.7845017488118464,0.5656603947550569,0.4949899799599198
