dataset,kir,seed,component,oos_f1,f1_all,id_recall,false_accept_rate,effective_cluster_count,base_oos_f1,base_f1_all,base_id_recall,base_false_accept_rate,base_effective_cluster_count,delta_oos_vs_mogb_default,delta_f1_all_vs_mogb_default,delta_id_recall_vs_mogb_default,delta_false_accept_vs_mogb_default
banking77,0.5,87,euclidean_mean_std,0.8123989218328841,0.6902007233487301,0.5769736842105263,0.0339743589743589,87.0,0.7525997581620314,0.478918275501595,0.3296052631578947,0.0025641025641025,87.0,0.059799163670852695,0.21128244784713507,0.24736842105263163,0.0314102564102564
banking77,0.5,87,mahalanobis_diag_mean,0.7525997581620314,0.478918275501595,0.3296052631578947,0.0025641025641025,87.0,0.7525997581620314,0.478918275501595,0.3296052631578947,0.0025641025641025,87.0,0.0,0.0,0.0,0.0
banking77,0.5,87,mahalanobis_diag_mean_std,0.807315133845746,0.6704466276399693,0.5460526315789473,0.0237179487179487,87.0,0.7525997581620314,0.478918275501595,0.3296052631578947,0.0025641025641025,87.0,0.05471537568371465,0.19152835213837432,0.21644736842105267,0.0211538461538462
banking77,0.5,100,euclidean_mean,0.7444901913296198,0.4681933295043734,0.3210526315789473,0.0147435897435897,105.0,0.7365911799761621,0.4274559182359885,0.2828947368421053,0.0096153846153846,105.0,0.007899011353457719,0.04073741126838493,0.038157894736842,0.0051282051282051
banking77,0.5,100,euclidean_mean_std,0.7964120684968742,0.6772606524700203,0.5697368421052631,0.0608974358974358,105.0,0.7365911799761621,0.4274559182359885,0.2828947368421053,0.0096153846153846,105.0,0.0598208885207121,0.24980473423403182,0.2868421052631578,0.0512820512820512
banking77,0.5,100,mahalanobis_diag_mean,0.7365911799761621,0.4274559182359885,0.2828947368421053,0.0096153846153846,105.0,0.7365911799761621,0.4274559182359885,0.2828947368421053,0.0096153846153846,105.0,0.0,0.0,0.0,0.0
banking77,0.5,100,mahalanobis_diag_mean_std,0.7884665792922674,0.6352506311074062,0.5059210526315789,0.0358974358974358,105.0,0.7365911799761621,0.4274559182359885,0.2828947368421053,0.0096153846153846,105.0,0.0518753993161053,0.2077947128714177,0.22302631578947363,0.026282051282051196
banking77,0.5,123,euclidean_mean,0.7526987242394504,0.5095860938475171,0.3539473684210527,0.0166666666666666,87.0,0.7486708554857419,0.4773009583110473,0.3230263157894737,0.007051282051282,87.0,0.00402786875370853,0.03228513553646978,0.03092105263157896,0.0096153846153846
banking77,0.5,123,euclidean_mean_std,0.7988919667590028,0.7026305122920914,0.6,0.0756410256410256,87.0,0.7486708554857419,0.4773009583110473,0.3230263157894737,0.007051282051282,87.0,0.0502211112732609,0.2253295539810441,0.27697368421052626,0.0685897435897436
banking77,0.5,123,mahalanobis_diag_mean,0.7486708554857419,0.4773009583110473,0.3230263157894737,0.007051282051282,87.0,0.7486708554857419,0.4773009583110473,0.3230263157894737,0.007051282051282,87.0,0.0,0.0,0.0,0.0
banking77,0.5,123,mahalanobis_diag_mean_std,0.7932692307692307,0.6661867764875642,0.5401315789473684,0.048076923076923,87.0,0.7486708554857419,0.4773009583110473,0.3230263157894737,0.007051282051282,87.0,0.04459837528348887,0.1888858181765169,0.2171052631578947,0.041025641025641005
banking77,0.75,13,euclidean_mean,0.4772510340439071,0.433316973658012,0.2961206896551724,0.0131578947368421,133.0,0.4678471575023299,0.3952835406078863,0.2646551724137931,0.0092105263157894,133.0,0.009403876541577205,0.03803343305012569,0.031465517241379304,0.003947368421052699
banking77,0.75,13,euclidean_mean_std,0.5428460643660333,0.629512234114083,0.5176724137931035,0.0789473684210526,133.0,0.4678471575023299,0.3952835406078863,0.2646551724137931,0.0092105263157894,133.0,0.07499890686370342,0.23422869350619668,0.25301724137931036,0.0697368421052632
banking77,0.75,13,mahalanobis_diag_mean,0.4678471575023299,0.3952835406078863,0.2646551724137931,0.0092105263157894,133.0,0.4678471575023299,0.3952835406078863,0.2646551724137931,0.0092105263157894,133.0,0.0,0.0,0.0,0.0
