dataset,seed,comparison,gold_type,transition,count,rate_within_gold_type,mean_embedding_movement_norm,median_embedding_movement_norm,mean_delta_score,mean_delta_distance,mean_delta_radius
clinc150,87,trainable_vs_mogb,Known,both_wrong,587,0.2608888888888889,0.43904747268001965,0.43516525770247144,0.06930513097204923,2.2885106850357797,0.7029692561962397
clinc150,87,trainable_vs_mogb,Known,trainable_only_correct,914,0.4062222222222222,0.4542514518248798,0.45286312851443566,-0.03881087099095998,-0.35935697442683295,0.5684958928710956
clinc150,87,trainable_vs_mogb,OOS,baseline_only_correct,75,0.021739130434782608,0.4525302771648282,0.4464579061395371,0.009711030169350023,0.9424478708974614,0.7498282339398369
clinc150,87,trainable_vs_mogb,OOS,both_correct,3349,0.9707246376811595,0.4207601450098976,0.4155878477300766,0.14799407213088275,3.684944724034143,0.4457742289770896
clinc150,87,trainable_vs_mogb,OOS,both_wrong,22,0.006376811594202898,0.38528732437966506,0.39154959859241967,0.04622995903148739,1.360382277214751,0.417420521026876
clinc150,87,trainable_vs_mogb,OOS,trainable_only_correct,4,0.0011594202898550724,0.39364920192921243,0.38749972189546067,0.16490497827362577,4.035946943831251,0.41400590231549117
banking77,13,trainable_vs_frozen,Known,baseline_only_correct,61,0.04013157894736842,0.5120492802830011,0.49186541513397763,0.0873760187923379,2.0982114334260578,0.11576042980395887
banking77,13,trainable_vs_frozen,Known,both_correct,1158,0.7618421052631579,0.49272425414064985,0.4837103650098266,-0.00827100648383302,-0.030412440864604477,0.20904477057834375
banking77,13,trainable_vs_frozen,Known,both_wrong,246,0.1618421052631579,0.4889194565992067,0.47610842892452726,0.04193729099897685,1.2409935219302501,0.26152102855808457
banking77,13,trainable_vs_frozen,Known,trainable_only_correct,55,0.03618421052631579,0.5757815483825324,0.5603323093440816,-0.05138972421394547,-0.6804123161808331,0.5089695642055863
banking77,13,trainable_vs_frozen,OOS,baseline_only_correct,21,0.013461538461538462,0.55912152930986,0.5425943119061957,-0.07161145761627277,-1.0858577690997533,0.5430437730499834
banking77,13,trainable_vs_frozen,OOS,both_correct,1109,0.7108974358974359,0.49203791138899317,0.48622569389893583,0.10252597367101082,2.6366650325178087,0.2807229906387709
banking77,13,trainable_vs_frozen,OOS,both_wrong,191,0.12243589743589743,0.520075073423096,0.5240642393716084,0.042113969873178815,1.0588861649056884,0.11365766511885571
