dataset,kir,component,metric,n_seeds,mean_delta,median_delta,std_delta,ci95_low,ci95_high,wins,ties,losses,bootstrap_seed,bootstrap_samples
clinc150,0.5,euclidean_mean_std,auroc,5,0.046463587761674675,0.04639549114331698,0.006774876791292639,0.04166533977455735,0.05219872463768114,5,0,0,20260725,10000
clinc150,0.5,euclidean_mean_std,aupr_oos,5,0.050474053020590756,0.047682399145645205,0.007923999348636433,0.045141278487530245,0.057193968267258775,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,oos_f1,5,0.08376460626182296,0.08425608382503835,0.0040473166553859855,0.08066874784457156,0.08686046467907435,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,f1_all,5,0.1630650445747752,0.15557093001397615,0.015594849369685745,0.15141429695422698,0.175505980092912,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,f1_k,5,0.16377308420256945,0.15620766971209177,0.015703098046411172,0.15204595364270612,0.1763106420296011,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,id_recall,5,0.19446428571428573,0.19464285714285712,0.012859071724801246,0.18428571428571433,0.20410714285714288,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,false_accept_rate,5,0.01094017094017094,0.007264957264957298,0.005832981110808879,0.00658119658119658,0.0152991452991453,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,false_reject_rate,5,-0.19446428571428573,-0.19464285714285717,0.012859071724801252,-0.2040476190476191,-0.1842857142857143,0,0,5,20260725,10000
clinc150,0.75,euclidean_mean_std,accuracy,5,0.10908771929824564,0.10789473684210527,0.006832426802918299,0.1037543859649123,0.11442105263157898,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,auroc,5,0.05504894179894186,0.05301714489214493,0.007212384348389567,0.04969184981684982,0.06040603378103391,5,0,0,20260725,10000
clinc150,0.75,euclidean_mean_std,aupr_oos,5,0.11985931624914428,0.11811832470393113,0.011052152269620535,0.1127376391510226,0.12953425160036722,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,oos_f1,5,0.031642600772434436,0.029722310108822203,0.013299940539199804,0.021241867671154945,0.04169028987368961,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,f1_all,5,0.12379388215943607,0.13645801688106762,0.04173242887778089,0.09125749608138593,0.15633026823748622,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,f1_k,5,0.1422241384368364,0.154340636336036,0.0484869251077448,0.1042858031498711,0.18016247372380173,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,id_recall,5,0.21266666666666662,0.19933333333333325,0.0636849886376513,0.16493333333333332,0.2625333333333333,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,false_accept_rate,5,0.0014222222222222193,-0.001111111111111101,0.027735790489439364,-0.020400000000000022,0.023244444444444456,2,0,3,20260725,10000
stackoverflow,0.25,euclidean_mean_std,false_reject_rate,5,-0.21266666666666664,-0.1993333333333334,0.06368498863765132,-0.2604,-0.16186666666666666,0,0,5,20260725,10000
stackoverflow,0.25,euclidean_mean_std,accuracy,5,0.05156666666666656,0.049666666666666526,0.01954005856922869,0.03599999999999992,0.06649999999999989,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,auroc,5,0.060289125925925925,0.057929037037037,0.024425839550483355,0.04068014814814809,0.07712186666666672,5,0,0,20260725,10000
stackoverflow,0.25,euclidean_mean_std,aupr_oos,5,0.036515521710715815,0.037672043353882856,0.018060419667479368,0.022933934005807434,0.050588460043394054,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,oos_f1,5,0.07464420706525324,0.06580074443144979,0.024403897411349126,0.05643229010880442,0.09471408384173477,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,f1_all,5,0.19643963331068556,0.1695037479282102,0.06568474194900496,0.15415611715519498,0.25468653595980795,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,f1_k,5,0.2086191759352288,0.17987404827788622,0.07007996612940327,0.163928499859834,0.2706837811716153,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,id_recall,5,0.2892,0.2693333333333333,0.05407279044645901,0.25759999999999994,0.33773333333333333,5,0,0,20260725,10000
stackoverflow,0.5,euclidean_mean_std,false_accept_rate,5,0.06386666666666671,0.063,0.026911996498876788,0.041721666666666705,0.08600000000000005,5,0,0,20260725,10000
