dataset,kir,data_seed,label_ratio,representation,k_variant,requested_k,effective_cluster_count,train_known_count,minimum_cluster_size,minimum_cluster_ratio,invalid_cluster_ratio,covariance_condition_median,oos_f1,id_recall,auroc,aupr_oos,fpr95,near_oos_f1,medium_oos_f1,far_oos_f1,status
clinc150,50,87,0.4,ce_recon,frozen_selected_k,1,75,3000,40,0.013333333333333334,0.0,641.547856041629,0.9013845719129697,0.7164444444444444,0.954812170940171,0.9606563468250053,0.17333333333333334,0.5383597883597884,0.8610627177700348,0.7164444444444444,complete
clinc150,50,87,0.6,frozen,k1,1,75,4500,60,0.013333333333333334,0.0,3531.0704469472153,0.888569374550683,0.7266666666666667,0.9098919658119657,0.9044017759672248,0.2728888888888889,0.48592999313658203,0.8482840236686391,0.7542948461845785,complete
clinc150,50,87,0.6,frozen,k2,2,150,4500,5,0.0011111111111111111,0.0,3245.148656307676,0.8790322580645161,0.6528888888888889,0.9215913846153846,0.9196076342058714,0.25555555555555554,0.48568019093078757,0.8210478566568383,0.7073810415886099,complete
clinc150,50,87,0.6,frozen,frozen_selected_k,1,75,4500,60,0.013333333333333334,0.0,3531.0704469472153,0.888569374550683,0.7266666666666667,0.9098919658119657,0.9044017759672248,0.2728888888888889,0.48592999313658203,0.8482840236686391,0.7542948461845785,complete
clinc150,50,87,0.6,ce_recon,k1,1,75,4500,60,0.013333333333333334,0.0,621.2946977121844,0.9058856980381007,0.7342222222222222,0.957972923076923,0.9639136309118086,0.16533333333333333,0.5551075268817204,0.8679911699779249,0.7296564195298373,complete
clinc150,50,87,0.6,ce_recon,k2,2,150,4500,1,0.00022222222222222223,0.02666666666666667,464.3702360110198,0.890937019969278,0.6795555555555556,0.9465393504273505,0.9500576823214947,0.18,0.5164086687306502,0.8450462067483344,0.691220556745182,complete
clinc150,50,87,0.6,ce_recon,frozen_selected_k,1,75,4500,60,0.013333333333333334,0.0,621.2946977121844,0.9058856980381007,0.7342222222222222,0.957972923076923,0.9639136309118086,0.16533333333333333,0.5551075268817204,0.8679911699779249,0.7296564195298373,complete
clinc150,50,87,1.0,frozen,k1,1,75,7500,100,0.013333333333333334,0.0,3408.1021335496794,0.8895027624309392,0.7471111111111111,0.9109910427350428,0.9060497723851522,0.27955555555555556,0.48828956706884313,0.8521400778210116,0.7719438877755511,complete
clinc150,50,87,1.0,frozen,k2,2,150,7500,10,0.0013333333333333333,0.0,3108.315512994163,0.8922419928825622,0.7151111111111111,0.9158283760683761,0.914249795177502,0.23377777777777778,0.5146962769431744,0.8443810881444523,0.7502921698480717,complete
clinc150,50,87,1.0,frozen,frozen_selected_k,1,75,7500,100,0.013333333333333334,0.0,3408.1021335496794,0.8895027624309392,0.7471111111111111,0.9109910427350428,0.9060497723851522,0.27955555555555556,0.48828956706884313,0.8521400778210116,0.7719438877755511,complete
clinc150,50,87,1.0,ce_recon,k1,1,75,7500,100,0.013333333333333334,0.0,590.2843170307339,0.9085975435589831,0.7462222222222222,0.9571101538461538,0.9628677430058757,0.15866666666666668,0.5604395604395604,0.8725730863646507,0.7412777526053467,complete
