dataset,kir,intent,known_count_mean,trainable_correct_rate,mogb_correct_rate,trainable_reject_rate,mogb_reject_rate,trainable_wrong_intent_rate,mogb_wrong_intent_rate,n_seeds,correct_rate_delta
banking77,0.75,receiving_money,40.0,0.8333333333333334,0.17500000000000002,0.15833333333333333,0.8250000000000001,0.008333333333333333,0.0,3,0.6583333333333333
banking77,0.75,request_refund,40.0,0.8374999999999999,0.36250000000000004,0.16249999999999998,0.6375,0.0,0.0,2,0.47499999999999987
banking77,0.75,reverted_card_payment?,40.0,0.7999999999999999,0.2833333333333334,0.16666666666666666,0.7166666666666667,0.03333333333333333,0.0,3,0.5166666666666666
banking77,0.75,supported_cards_and_currencies,40.0,0.8083333333333332,0.15833333333333333,0.17499999999999996,0.8416666666666667,0.016666666666666666,0.0,3,0.6499999999999999
banking77,0.75,terminate_account,40.0,0.8,0.44375,0.2,0.55625,0.0,0.0,4,0.35625000000000007
banking77,0.75,top_up_by_bank_transfer_charge,40.0,0.78125,0.21875,0.1875,0.78125,0.03125,0.0,4,0.5625
banking77,0.75,top_up_by_card_charge,40.0,0.9166666666666666,0.24166666666666667,0.049999999999999996,0.7583333333333333,0.03333333333333333,0.0,3,0.6749999999999999
banking77,0.75,top_up_by_cash_or_cheque,40.0,0.7833333333333333,0.325,0.16666666666666666,0.6749999999999999,0.05000000000000001,0.0,3,0.4583333333333333
banking77,0.75,top_up_failed,40.0,0.85,0.275,0.1125,0.725,0.037500000000000006,0.0,2,0.575
banking77,0.75,top_up_limits,40.0,0.85,0.4875,0.1375,0.5125,0.0125,0.0,2,0.3625
banking77,0.75,top_up_reverted,40.0,0.7999999999999999,0.2833333333333333,0.16666666666666666,0.7166666666666667,0.03333333333333333,0.0,3,0.5166666666666666
banking77,0.75,topping_up_by_card,40.0,0.725,0.075,0.255,0.925,0.02,0.0,5,0.65
banking77,0.75,transaction_charged_twice,40.0,0.86875,0.30625,0.13125,0.6937500000000001,0.0,0.0,4,0.5625
banking77,0.75,transfer_fee_charged,40.0,0.79375,0.33125,0.14375,0.66875,0.0625,0.0,4,0.46249999999999997
banking77,0.75,transfer_into_account,40.0,0.6875,0.3625,0.2625,0.6375,0.05,0.0,4,0.325
banking77,0.75,transfer_not_received_by_recipient,40.0,0.75,0.0,0.2,1.0,0.05,0.0,1,0.75
banking77,0.75,transfer_timing,40.0,0.7083333333333334,0.10000000000000002,0.27499999999999997,0.9,0.016666666666666666,0.0,3,0.6083333333333334
banking77,0.75,unable_to_verify_identity,40.0,0.7625,0.275,0.21250000000000002,0.725,0.025,0.0,4,0.48749999999999993
banking77,0.75,verify_my_identity,40.0,0.77,0.485,0.13999999999999999,0.5050000000000001,0.09,0.01,5,0.28500000000000003
banking77,0.75,verify_source_of_funds,40.0,0.96,0.5050000000000001,0.04,0.495,0.0,0.0,5,0.45499999999999985
banking77,0.75,verify_top_up,40.0,0.95,0.4625,0.05,0.5375,0.0,0.0,4,0.48749999999999993
banking77,0.75,virtual_card_not_working,40.0,0.66875,0.18125000000000002,0.3,0.80625,0.03125,0.0125,4,0.48749999999999993
banking77,0.75,visa_or_mastercard,40.0,0.76875,0.3,0.2125,0.7,0.018750000000000003,0.0,4,0.46875000000000006
banking77,0.75,why_verify_identity,40.0,0.8833333333333333,0.30833333333333335,0.05000000000000001,0.6666666666666666,0.06666666666666667,0.025000000000000005,3,0.575
banking77,0.75,wrong_amount_of_cash_received,40.0,0.80625,0.28125,0.15,0.7125,0.043750000000000004,0.00625,4,0.525
banking77,0.75,wrong_exchange_rate_for_cash_withdrawal,40.0,0.7,0.16999999999999998,0.21000000000000002,0.825,0.09,0.005,5,0.53
clinc150,0.25,accept_reservations,30.0,0.7666666666666667,0.6,0.23333333333333334,0.4,0.0,0.0,1,0.16666666666666674
clinc150,0.25,account_blocked,30.0,0.5166666666666666,0.26666666666666666,0.48333333333333334,0.7333333333333334,0.0,0.0,2,0.24999999999999994
