epoch,phase,loss,classification_ce,intra_compactness,inter_margin,selection_score,calibration_f1_k,calibration_known_recall,dataset,kir,seed,test_oos_f1,test_known_recall,best_epoch_manifest
3,finetune,0.1008851195233208,0.055555381546063,0.4433366967950548,0.0099606775000159,0.8685473009438248,0.8313374795152534,0.7441964285714286,clinc150,0.75,13,0.8230088495575221,0.7464285714285714,2
4,finetune,0.0798611581112657,0.0409664449255381,0.3814989575317928,0.0074481695477983,0.8718988804604679,0.8347113804604679,0.74375,clinc150,0.75,13,0.8230088495575221,0.7464285714285714,2
1,warmup,0.2132401383348873,0.1487927280792168,0.618082150731768,0.0263919422509414,0.8415287780715391,0.8046091352143963,0.7383928571428571,clinc150,0.75,42,0.823141706334676,0.7398809523809524,4
2,finetune,0.1537673347336905,0.0969231035134622,0.5506587827205658,0.0177835317421704,0.8631382332980327,0.8259507332980327,0.74375,clinc150,0.75,42,0.823141706334676,0.7398809523809524,4
3,finetune,0.1073683377036026,0.0595769132939832,0.4665765729972294,0.0113376606082809,0.861342840017465,0.8246687328746078,0.7334821428571429,clinc150,0.75,42,0.823141706334676,0.7398809523809524,4
4,finetune,0.0820158131846359,0.0405356750796948,0.4071275767258235,0.0076737975395683,0.8660400902221177,0.8291427687935463,0.7379464285714286,clinc150,0.75,42,0.823141706334676,0.7398809523809524,4
1,warmup,0.219111113676003,0.1549283481069973,0.6143875282151359,0.0274401198912944,0.8612069969310147,0.8233275326453003,0.7575892857142857,clinc150,0.75,87,0.8302650957290133,0.7508928571428571,3
2,finetune,0.1608880321894373,0.1028103261015244,0.5613499781063624,0.0194270805735141,0.874683330354115,0.8370494017826865,0.7526785714285714,clinc150,0.75,87,0.8302650957290133,0.7508928571428571,3
3,finetune,0.1180063590620245,0.0681263331802828,0.4860418277127402,0.0127584226469376,0.877566912812442,0.839754412812442,0.75625,clinc150,0.75,87,0.8302650957290133,0.7508928571428571,3
4,finetune,0.0922522067172186,0.0487835068574973,0.4255622790540967,0.0091247061240885,0.8741647512071432,0.836709394064286,0.7491071428571429,clinc150,0.75,87,0.8302650957290133,0.7508928571428571,3
1,warmup,0.1950286728995187,0.1322344155396733,0.6045931598118374,0.0233493930354182,0.8533807714352432,0.8161709500066717,0.7441964285714286,clinc150,0.75,100,0.8333023601561048,0.762202380952381,4
2,finetune,0.1455633899995259,0.0903499361872673,0.536056365115302,0.0160781559547675,0.8624413049601318,0.8254770192458462,0.7392857142857143,clinc150,0.75,100,0.8333023601561048,0.762202380952381,4
3,finetune,0.102733084410429,0.0563501207530498,0.4538344957147325,0.0099951326408024,0.8649232548514573,0.8280705762800287,0.7370535714285714,clinc150,0.75,100,0.8333023601561048,0.762202380952381,4
4,finetune,0.08194764105337,0.0425325419221605,0.3865241856234414,0.0076267994048872,0.8679539797641613,0.8310343369070184,0.7383928571428571,clinc150,0.75,100,0.8333023601561048,0.762202380952381,4
1,warmup,0.2011415948612349,0.1378599152394703,0.6087571709496634,0.0240596045660121,0.8446363463829796,0.8077390249544082,0.7379464285714286,clinc150,0.75,123,0.8327481057105895,0.756547619047619,3
2,finetune,0.1477367948634284,0.0920036520010658,0.539914243221283,0.0174171770829707,0.8645836155325983,0.827172901246884,0.7482142857142857,clinc150,0.75,123,0.8327481057105895,0.756547619047619,3
3,finetune,0.104800153608833,0.0574604453146457,0.4624981260299682,0.0108989424298384,0.8653610113515404,0.8282404756372547,0.7424107142857144,clinc150,0.75,123,0.8327481057105895,0.756547619047619,3
4,finetune,0.0821692436720643,0.0409729980091963,0.4041807765620095,0.0077816757839173,0.8627734215472032,0.8259653858329175,0.7361607142857143,clinc150,0.75,123,0.8327481057105895,0.756547619047619,3
1,warmup,0.2474915526275123,0.1933905173567057,0.5058430467333113,0.03516732315932,0.9030095436252512,0.8625136758566562,0.8099173553719008,banking77,0.25,13,0.9154867256637168,0.8276315789473684,2
2,finetune,0.1786388000207288,0.1267889144165175,0.4931267006056649,0.0253721580441508,0.9035046669816008,0.8638352454939976,0.7933884297520661,banking77,0.25,13,0.9154867256637168,0.8276315789473684,2
3,finetune,0.1232550219765731,0.0776903098848249,0.4397915640047618,0.0158555514445262,0.8878780117061532,0.8488284249292937,0.78099173553719,banking77,0.25,13,0.9154867256637168,0.8276315789473684,2
