method,seed,point,fpr,tpr,threshold
fixed_k2,13,69,0.10133333333333333,0.6783333333333333,0.9443089924927478
fixed_k2,13,70,0.10266666666666667,0.683,0.9426617853429776
fixed_k2,13,71,0.10366666666666667,0.6923333333333334,0.9398838479400762
fixed_k2,13,72,0.10533333333333333,0.6973333333333334,0.9388027155562663
fixed_k2,13,73,0.10766666666666666,0.7066666666666667,0.9361378595228396
fixed_k2,13,74,0.109,0.71,0.9350482009715869
fixed_k2,13,75,0.11033333333333334,0.712,0.9344257012434398
fixed_k2,13,76,0.11266666666666666,0.716,0.9322828542461052
fixed_k2,13,77,0.11433333333333333,0.727,0.9286633033396009
fixed_k2,13,78,0.116,0.7366666666666667,0.9255308494573504
fixed_k2,13,79,0.11766666666666667,0.74,0.9243948541284548
fixed_k2,13,80,0.119,0.7466666666666667,0.9227090399620855
fixed_k2,13,81,0.121,0.7536666666666667,0.920182510969242
fixed_k2,13,82,0.12233333333333334,0.7623333333333333,0.9181701097779676
fixed_k2,13,83,0.124,0.7646666666666667,0.9173731019246673
fixed_k2,13,84,0.12533333333333332,0.7713333333333333,0.915221603223341
fixed_k2,13,85,0.128,0.7756666666666666,0.9136468436790639
fixed_k2,13,86,0.12933333333333333,0.7786666666666666,0.9118464713838628
fixed_k2,13,87,0.13066666666666665,0.7813333333333333,0.91043862716581
fixed_k2,13,88,0.132,0.7843333333333333,0.9089631489324949
fixed_k2,13,89,0.13366666666666666,0.787,0.9076882402963354
fixed_k2,13,90,0.135,0.7903333333333333,0.9066353473757297
fixed_k2,13,91,0.13666666666666666,0.7916666666666666,0.9058404801035422
fixed_k2,13,92,0.13866666666666666,0.7946666666666666,0.9044626758019997
fixed_k2,13,93,0.13966666666666666,0.799,0.9031492756889611
fixed_k2,13,94,0.14133333333333334,0.8036666666666666,0.9019243461679313
fixed_k2,13,95,0.14333333333333334,0.8063333333333333,0.9008720265723852
fixed_k2,13,96,0.14566666666666667,0.809,0.8991783437251784
fixed_k2,13,97,0.14733333333333334,0.8143333333333334,0.8977334718327731
fixed_k2,13,98,0.14966666666666667,0.817,0.8961762790861805
fixed_k2,13,99,0.15066666666666667,0.8213333333333334,0.8945705409672217
fixed_k2,13,100,0.15333333333333332,0.8256666666666667,0.8929774154430722
fixed_k2,13,101,0.15466666666666667,0.8283333333333334,0.8925361392249767
fixed_k2,13,102,0.15766666666666668,0.8303333333333334,0.890723440887807
fixed_k2,13,103,0.15933333333333333,0.8326666666666667,0.8893752355890707
fixed_k2,13,104,0.16066666666666668,0.8343333333333334,0.8888454883117147
fixed_k2,13,105,0.16233333333333333,0.838,0.8874461477793847
fixed_k2,13,106,0.16533333333333333,0.8406666666666667,0.8853422131915326
fixed_k2,13,107,0.16766666666666666,0.8426666666666667,0.8838890697242641
