dataset,kir,method,method_label,intent,known_count_mean,known_false_reject_rate_mean,oos_false_accept_rate_mean,rank,method_oos_fa_total,oos_fa_share_of_method_total
clinc150,0.75,fixed_k2,Frozen K=2,what_is_your_name,30.0,0.1888888888888888,0.0032763532763532,9,0.10072649572649209,0.03252722387215429
clinc150,0.75,fixed_k2,Frozen K=2,reminder_update,30.0,0.1399999999999999,0.0032478632478632,10,0.10072649572649209,0.032244378447179305
clinc150,0.75,mogb_minilm,MOGB-MiniLM,reminder_update,30.0,0.92,0.0014529914529914,1,0.010683760683759657,0.13600000000000811
clinc150,0.75,mogb_minilm,MOGB-MiniLM,damaged_card,30.0,0.6583333333333333,0.0013888888888888,2,0.010683760683759657,0.13000000000000417
clinc150,0.75,mogb_minilm,MOGB-MiniLM,change_ai_name,30.0,0.9833333333333334,0.0012820512820512,3,0.010683760683759657,0.12000000000000385
clinc150,0.75,mogb_minilm,MOGB-MiniLM,timezone,30.0,0.7333333333333334,0.0008547008547008,4,0.010683760683759657,0.08000000000000257
clinc150,0.75,mogb_minilm,MOGB-MiniLM,pto_used,30.0,0.6555555555555556,0.0008547008547008,5,0.010683760683759657,0.08000000000000257
clinc150,0.75,mogb_minilm,MOGB-MiniLM,insurance_change,30.0,0.4333333333333333,0.0008547008547008,6,0.010683760683759657,0.08000000000000257
clinc150,0.75,mogb_minilm,MOGB-MiniLM,user_name,30.0,0.8083333333333333,0.000534188034188,7,0.010683760683759657,0.050000000000001606
clinc150,0.75,mogb_minilm,MOGB-MiniLM,rewards_balance,30.0,0.7,0.000534188034188,8,0.010683760683759657,0.050000000000001606
clinc150,0.75,mogb_minilm,MOGB-MiniLM,uber,30.0,0.5133333333333333,0.0004273504273504,9,0.010683760683759657,0.040000000000001285
clinc150,0.75,mogb_minilm,MOGB-MiniLM,exchange_rate,30.0,0.8333333333333334,0.0003205128205128,10,0.010683760683759657,0.030000000000000963
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + ours,todo_list_update,30.0,0.7,0.0022435897435897,1,0.024757834757833285,0.09062140391254679
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + ours,insurance_change,30.0,0.2833333333333333,0.0021367521367521,2,0.024757834757833285,0.08630609896433046
clinc150,0.75,mogb_partition_ours_boundary,MOGB partition + ours,change_ai_name,30.0,0.925,0.0019230769230769,3,0.024757834757833285,0.07767548906789781
